,Date
0,2005-01-03
1,2005-01-04
2,2005-01-05
3,2005-01-06
4,2005-01-07
5,2005-01-10
6,2005-02-23
7,2005-03-07
8,2005-05-02
9,2005-05-09
10,2005-06-13
11,2005-11-04
12,2005-01-02
13,2005-01-03
14,2005-01-04
15,2005-01-05
16,2005-01-06
17,2005-01-09
18,2005-02-23
19,2005-02-24
20,2005-03-08
21,2005-05-01
22,2005-05-08
23,2005-05-09
24,2005-06-12
25,2005-11-06
26,2007-01-01
27,2007-01-02
28,2007-01-03
29,2007-01-04
30,2007-01-05
31,2007-01-08
32,2007-02-23
33,2007-02-24
34,2007-03-08
35,2007-04-30
36,2007-05-01
37,2007-05-09
38,2007-06-11
39,2007-06-12
40,2007-11-05
41,2007-12-31
42,2008-01-01
43,2008-01-02
44,2008-01-03
45,2008-01-04
46,2008-01-07
47,2008-01-08
48,2008-02-25
49,2008-03-10
50,2008-04-30
51,2008-05-01
52,2008-05-02
53,2008-05-09
54,2008-06-12
55,2008-06-13
56,2008-11-03
57,2008-11-04
58,2009-01-01
59,2009-01-02
60,2009-01-05
61,2009-01-06
62,2009-01-07
63,2009-01-08
64,2009-01-09
65,2009-01-10
66,2009-02-23
67,2009-03-09
68,2009-05-01
69,2009-05-11
70,2009-06-12
